segment_name,segments
Champions,111
Champions,112
Champions,122
Champions,121
Champions,212
Champions,211
Champions,221
Loyal,123
Loyal,222
Loyal,231
Loyal,311
Loyal,312
Loyal,321
Loyal,322
Loyal,331
Potential Loyalist,113
Potential Loyalist,115
Potential Loyalist,114
Potential Loyalist,125
Potential Loyalist,124
Potential Loyalist,133
Potential Loyalist,134
Potential Loyalist,135
Potential Loyalist,214
Potential Loyalist,215
Potential Loyalist,224
Potential Loyalist,225
Potential Loyalist,235
Potential Loyalist,213
Potential Loyalist,233
Potential Loyalist,234
Potential Loyalist,243
Potential Loyalist,313
Potential Loyalist,314
Potential Loyalist,315
Potential Loyalist,324
Potential Loyalist,325
Potential Loyalist,333
Potential Loyalist,343
New Customers,154
New Customers,155
New Customers,244
New Customers,245 254
New Customers,255
New Customers,355
Promising,141
Promising,142
Promising,143
Promising,144
Promising,145
Promising,151
Promising,152
Promising,153
Promising,241
Promising,242
Promising,253
Promising,252
Promising,251
Promising,351
Promising,352
Promising,353
Need Attention,131
Need Attention,132
Need Attention,223
Need Attention,232
Need Attention,323
Need Attention,332
Need Attention,341
Need Attention,342
About To Sleep,335
About To Sleep,345
About To Sleep,354
About To Sleep,445
About To Sleep,453
About To Sleep,435
About To Sleep,425
About To Sleep,415
At Risk,411
At Risk,412
At Risk,421
At Risk,422
At Risk,413
At Risk,414
At Risk,423
At Risk,424
At Risk,431
At Risk,432
At Risk,441
At Risk,442
At Risk,513
At Risk,514
At Risk,521
At Risk,523
At Risk,524
At Risk,531
At Risk,532
At Risk,533
At Risk,541
At Risk,542
Cannot Lose Them,511
Cannot Lose Them,512
Cannot Lose Them,522
Cannot Lose Them,452
Cannot Lose Them,451
Cannot Lose Them,551
Cannot Lose Them,552
Cannot Lose Them,553
Hibernating customers,334
Hibernating customers,344
Hibernating customers,435
Hibernating customers,425
Hibernating customers,415
Hibernating customers,433
Hibernating customers,434
Hibernating customers,443
Hibernating customers,444
Hibernating customers,534
Hibernating customers,543
Hibernating customers,544
Hibernating customers,454
Hibernating customers,455
Lost customers,555
Lost customers,554
Lost customers,545
Lost customers,535
Lost customers,525
Lost customers,515
